epoch,filter_index,l2,delta_l2
5,95,0.817797,0.025455
5,96,0.866636,0.023942
5,97,0.855378,0.018879
5,98,0.839606,0.015118
5,99,0.806527,0.015914
5,100,0.803735,0.019826
5,101,0.845620,0.025229
5,102,0.777429,0.025953
5,103,0.863148,0.023413
5,104,0.834773,0.014492
5,105,0.790679,0.017381
5,106,0.799911,0.017902
5,107,0.783153,0.018909
5,108,0.846710,0.016403
5,109,0.830150,0.014884
5,110,0.806988,0.023899
5,111,0.875110,0.023363
5,112,0.823988,0.014963
5,113,0.835557,0.016376
5,114,0.781158,0.025834
5,115,0.807295,0.017036
5,116,0.826986,0.016299
5,117,0.818615,0.024671
5,118,0.778587,0.017019
5,119,0.802302,0.014543
5,120,0.842129,0.023035
5,121,0.811728,0.023734
5,122,0.823378,0.025262
5,123,0.807234,0.014376
5,124,0.828005,0.013681
5,125,0.806393,0.015285
5,126,0.818353,0.016544
5,127,0.873025,0.012609
6,0,0.827036,0.023213
6,1,0.862337,0.021851
6,2,0.873278,0.013020
6,3,0.791077,0.021619
6,4,0.820523,0.018851
6,5,0.807762,0.020254
6,6,0.781555,0.015375
6,7,0.834914,0.022641
6,8,0.878390,0.017302
6,9,0.802770,0.011981
6,10,0.799951,0.022732
6,11,0.861749,0.016525
6,12,0.818607,0.016602
6,13,0.863181,0.012856
6,14,0.759549,0.018299
6,15,0.847809,0.010573
6,16,0.844862,0.019416
6,17,0.778163,0.017117
6,18,0.839998,0.023292
6,19,0.843489,0.019847
6,20,0.822269,0.014247
6,21,0.836208,0.014396
6,22,0.833837,0.017792
6,23,0.777745,0.013777
6,24,0.795298,0.024180
6,25,0.813340,0.010157
6,26,0.833251,0.021805
6,27,0.815075,0.019284
6,28,0.832073,0.012643
6,29,0.811213,0.012406
6,30,0.812228,0.021089
6,31,0.858243,0.020862
6,32,0.854158,0.021131
6,33,0.823710,0.021359
6,34,0.827632,0.015297
6,35,0.800402,0.013803
6,36,0.780023,0.013668
6,37,0.743329,0.023609
6,38,0.785264,0.016778
6,39,0.825394,0.013111
6,40,0.823264,0.013461
6,41,0.818743,0.020232
6,42,0.845430,0.014686
6,43,0.806762,0.012205
6,44,0.848569,0.015156
6,45,0.812183,0.021651
6,46,0.821952,0.011818
6,47,0.813173,0.022983
6,48,0.809842,0.012337
6,49,0.822273,0.014565
6,50,0.831143,0.014509
6,51,0.847830,0.020567
6,52,0.780167,0.009516
6,53,0.749020,0.016066
6,54,0.827744,0.020299
6,55,0.799259,0.022505
6,56,0.812387,0.019423
6,57,0.820441,0.009128
6,58,0.769480,0.018946
6,59,0.798536,0.022899
6,60,0.847303,0.015124
6,61,0.797156,0.023385
6,62,0.856015,0.015668
6,63,0.836532,0.015766
6,64,0.841096,0.012351
6,65,0.874407,0.022064
6,66,0.850291,0.022450
6,67,0.869709,0.020561
6,68,0.825398,0.016132
6,69,0.822253,0.018988
6,70,0.850723,0.016492
6,71,0.849349,0.021418
6,72,0.838797,0.016829
6,73,0.790707,0.021917
6,74,0.834745,0.015555
6,75,0.819984,0.012706
6,76,0.853113,0.013958
6,77,0.816321,0.015901
6,78,0.839637,0.013235
6,79,0.782009,0.015495
6,80,0.820879,0.012536
6,81,0.780134,0.011544
6,82,0.805444,0.014410
6,83,0.843105,0.012203
6,84,0.828761,0.013445
6,85,0.784338,0.015967
6,86,0.837513,0.023930
6,87,0.803996,0.021571
6,88,0.837857,0.014872
6,89,0.833094,0.014543
6,90,0.839250,0.011638
6,91,0.821956,0.015853
6,92,0.797364,0.018165
6,93,0.815978,0.022753
6,94,0.878924,0.011320
6,95,0.821133,0.023568
6,96,0.871720,0.021833
6,97,0.859067,0.018933
6,98,0.840539,0.011979
6,99,0.807936,0.013341
6,100,0.807658,0.018135
6,101,0.849055,0.023533
6,102,0.779966,0.023932
6,103,0.867894,0.021205
6,104,0.835026,0.014327
6,105,0.791151,0.014577
6,106,0.800716,0.014867
6,107,0.786717,0.019101
6,108,0.848072,0.013534
6,109,0.831339,0.010996
6,110,0.810426,0.021969
6,111,0.881549,0.020722
6,112,0.826188,0.012580
6,113,0.837277,0.013738
6,114,0.784222,0.023833
6,115,0.808424,0.014112
6,116,0.828355,0.013258
6,117,0.822419,0.022001
6,118,0.779584,0.014117
6,119,0.804389,0.011871
6,120,0.848216,0.020897
6,121,0.817801,0.021681
6,122,0.826197,0.022250
6,123,0.809810,0.012215
6,124,0.830659,0.011168
6,125,0.808233,0.012766
6,126,0.819261,0.016043
6,127,0.874301,0.010746
7,0,0.829650,0.019621
7,1,0.865320,0.018217
7,2,0.875323,0.010324
7,3,0.795306,0.017748
7,4,0.822239,0.018817
7,5,0.810594,0.017483
7,6,0.782639,0.012313
7,7,0.838799,0.019646
7,8,0.880672,0.016458
7,9,0.804614,0.009553
7,10,0.802231,0.021294
7,11,0.863246,0.017116
7,12,0.819153,0.017842
7,13,0.864376,0.010440
7,14,0.761353,0.017186
7,15,0.849291,0.008452
7,16,0.848602,0.018517
7,17,0.777929,0.013936
7,18,0.843195,0.020152
7,19,0.847753,0.016782
7,20,0.823901,0.016056
7,21,0.837569,0.011818
7,22,0.837380,0.017086
7,23,0.778014,0.011502
7,24,0.799901,0.021011
7,25,0.813494,0.012938
7,26,0.835058,0.020571
7,27,0.817302,0.017397
7,28,0.834165,0.010325
7,29,0.812546,0.009554
7,30,0.815924,0.017612
7,31,0.860993,0.017309
7,32,0.858897,0.017428
7,33,0.827772,0.017822
7,34,0.828848,0.012270
7,35,0.800512,0.014639
7,36,0.780687,0.013480
7,37,0.745790,0.020685
7,38,0.786690,0.018061
7,39,0.826397,0.010503
7,40,0.824726,0.011076
7,41,0.821950,0.016965
7,42,0.847380,0.011882
7,43,0.808757,0.009885
7,44,0.849775,0.012148
7,45,0.815858,0.018317
7,46,0.823461,0.008933
7,47,0.813520,0.020012
7,48,0.810334,0.012679
7,49,0.823657,0.011243
7,50,0.831889,0.010918
7,51,0.850873,0.018846
7,52,0.781743,0.007765
7,53,0.748760,0.012209
7,54,0.830315,0.018431
7,55,0.803365,0.019018
7,56,0.814699,0.017915
7,57,0.821019,0.008460
7,58,0.770729,0.018051
7,59,0.800676,0.020029
7,60,0.849237,0.012007
7,61,0.801243,0.020350
7,62,0.857855,0.013698
7,63,0.837662,0.016884
7,64,0.841898,0.013105
7,65,0.877833,0.018469
7,66,0.854124,0.019476
7,67,0.874224,0.018010
7,68,0.827108,0.014719
7,69,0.824419,0.017842
7,70,0.852157,0.013810
7,71,0.854276,0.018279
7,72,0.840342,0.017302
7,73,0.793577,0.018198
7,74,0.835533,0.012878
7,75,0.821932,0.011696
7,76,0.854995,0.011237
7,77,0.817111,0.013010
7,78,0.841239,0.010567
7,79,0.783340,0.011793
7,80,0.821992,0.008944
7,81,0.780816,0.010600
7,82,0.807875,0.011457
7,83,0.845330,0.009899
7,84,0.830983,0.011112
7,85,0.786112,0.012649
7,86,0.839519,0.020536
7,87,0.807733,0.018147
7,88,0.838772,0.011875
7,89,0.833750,0.015313
7,90,0.839566,0.011810
7,91,0.823458,0.016196
7,92,0.796208,0.019277
7,93,0.817673,0.019243
7,94,0.880879,0.009148
7,95,0.824668,0.021318
7,96,0.876325,0.018788
7,97,0.863463,0.019906
7,98,0.841470,0.008617
7,99,0.809227,0.010854
7,100,0.811950,0.017989
7,101,0.852497,0.020731
7,102,0.782593,0.020536
7,103,0.871873,0.017557
7,104,0.835283,0.013706
7,105,0.791740,0.011778
7,106,0.801580,0.011529
7,107,0.790862,0.018626
7,108,0.849308,0.011009
7,109,0.832504,0.008354
7,110,0.813974,0.019129
7,111,0.887201,0.017481
7,112,0.828112,0.010373
7,113,0.838798,0.010876
7,114,0.787368,0.020964
7,115,0.809493,0.011147
7,116,0.829575,0.010098
7,117,0.826044,0.018254
7,118,0.780541,0.011617
7,119,0.806209,0.009710
7,120,0.853952,0.017879
7,121,0.823301,0.018194
7,122,0.829683,0.018617
7,123,0.812073,0.010206
7,124,0.832860,0.008912
7,125,0.809853,0.010398
7,126,0.820321,0.015500
7,127,0.875038,0.009826
8,0,0.832161,0.016729
8,1,0.867967,0.016770
8,2,0.877017,0.007957
8,3,0.799248,0.016152
8,4,0.823981,0.019278
8,5,0.813014,0.017019
8,6,0.783621,0.009769
8,7,0.842817,0.017479
8,8,0.883025,0.015399
8,9,0.806201,0.007870
8,10,0.804804,0.019259
8,11,0.865383,0.017496
8,12,0.819939,0.019196
8,13,0.865471,0.008691
8,14,0.763165,0.016329
8,15,0.850554,0.006794
8,16,0.852307,0.016869
8,17,0.777912,0.011129
8,18,0.846013,0.017623
8,19,0.851650,0.016030
8,20,0.825515,0.018386
8,21,0.838810,0.009823
8,22,0.840904,0.016391
8,23,0.778208,0.009986
8,24,0.804441,0.018511
8,25,0.813324,0.016337
8,26,0.837274,0.020471
8,27,0.819556,0.016064
8,28,0.835979,0.008497
8,29,0.813667,0.007406
8,30,0.819519,0.015178
8,31,0.863236,0.015414
8,32,0.863253,0.015102
8,33,0.831252,0.015504
8,34,0.829957,0.009929
8,35,0.800804,0.016093
8,36,0.781492,0.012577
8,37,0.747954,0.018784
8,38,0.788496,0.018873
8,39,0.827417,0.009056
8,40,0.825963,0.009258
8,41,0.824326,0.015516
8,42,0.849050,0.009465
8,43,0.810474,0.007911
8,44,0.850899,0.009841
8,45,0.819079,0.016103
8,46,0.824735,0.007014
8,47,0.813432,0.018064
8,48,0.810941,0.014176
8,49,0.824866,0.008534
8,50,0.832560,0.008183
8,51,0.853774,0.017003
8,52,0.783081,0.006357
8,53,0.748778,0.008883
